Priority,Automation Pickup Time (Min),0.0808464,
Hour Resolved,Week Resolved,0.077481109,
Assignment group,technician Pickup in < 15 Min?,0.076571104,
Resolved < 60 Min?,technician Pickup in < 15 Min?,0.075797891,
MTTR SLA Met?,technician Pickup in < 15 Min?,0.070896125,
Reopen count,IE Catgory,0.068572277,
Technician Pickup Time (Min),Weightage,0.065943587,
IE Catgory,Business Resolution Time (Hrs),0.063581373,
Automation Pickup in < 5 Min?,technician Pickup in < 15 Min?,0.061340583,
Resolved < 60 Min?,Weightage,0.060188354,
Reassignment count,Initial Priority,0.060100698,
MTTR SLA Met?,Resolved < 60 Min?,0.058597652,
Knowledge Article Used?,Support Level(IE?),0.057594104,
Automation Pickup Time (Min),Cluster,0.053551041,
Highest Assignment group,IE Catgory,0.051532297,
Automation Pickup Time Range,Initial Priority,0.049743845,
Week Resolved,Assignment group,0.049193074,
Reassignment count,MTTR SLA Met?,0.048936227,
Reopened?,Initial Priority,0.048291122,
Automation Pickup Time (Min),05 min or less?,0.045703959,
Week Escala0d,IE Escalation Time (Hrs),0.037473793,
Assignment group,MTTR SLA Met?,0.036697482,
Weightage,Reassign > 5?,0.036697226,
Reassign > 5?,MTTR SLA Met?,0.034818368,
Automation Pickup in < 5 Min?,Priority,0.034141672,
Week Resolved,Technician Pickup Time (Min),0.032633165,
Hour Resolved,IE Catgory,0.032268131,
Priority,MTTR SLA Met?,0.031083032,
Support Level(IE?),Reassignment count,0.029969291,
Weightage,Week Escala0d,0.029571642,
Weightage,IE Escalation Time (Hrs),0.028737727,
Cluster,IE Catgory,0.024986733,
Week Resolved,IE Catgory,0.02369858,
Automation Pickup Time (Min),Business Resolution Time (Hrs),0.022949601,
Initial Priority,Reopen count,0.021984191,
05 min or less?,IE Catgory,0.014890947,
Initial Priority,Technician Pickup Time (Min),0.013833447,
Reassignment count,Resolved < 60 Min?,0.013372129,
Weightage,Cluster,0.012101942,
Reassignment count,Priority,0.012084486,
KB Article Used?,Business Resolution Time (Hrs),0.010498052,
IE Catgory,technician Pickup in < 15 Min?,0.009938443,
Knowledge Article Used?,Week Escala0d,0.00869368,
Initial Priority,MTTR SLA Met?,0.004079669,
Weightage,Week Resolved,0.003741627,
Support Level(IE?),Business Resolution Time (Hrs),0.003039216,
Automation Pickup in < 5 Min?,MTTR SLA Met?,0.002083708,
Hour Resolved,Reopen count,0.001645942,
Reopen count,Weightage,0.001519193,
Reassign > 5?,Initial Priority,0.000828912,
Automation Pickup Time (Min),Reopened?,-0.002305572,
Priority,Automation Pickup Time Range,-0.003512995,
Reopened?,Weightage,-0.004125433,
Cluster,Week Resolved,-0.004965954,
Technician Pickup Time (Min),MTTR SLA Met?,-0.00573872,
Assignment group,Initial Priority,-0.008049733,
Knowledge Article Used?,IE Catgory,-0.008195929,
Knowledge Article Used?,Automation Pickup Time (Min),-0.008423025,
Automation Pickup Time (Min),Hour Resolved,-0.009375619,
Automation Pickup Time (Min),Reopen count,-0.012218534,
Technician Pickup Time (Min),Week Escala0d,-0.012301051,
technician Pickup in < 15 Min?,Week Escala0d,-0.013931499,
Priority,Reopened?,-0.014675665,
KB Article Used?,IE Catgory,-0.014880577,
Automation Pickup Time (Min),KB Article Used?,-0.015367327,
Automation Pickup Time (Min),Technician Pickup Time (Min),-0.019546852,
Automation Pickup in < 5 Min?,Initial Priority,-0.019649023,
Knowledge Article Used?,Priority,-0.020492176,
IE Escalation Time (Hrs),Automation Pickup Time (Min),-0.020573537,
Support Level(IE?),Reopen count,-0.021417074,
Knowledge Article Used?,Week Resolved,-0.022009662,
technician Pickup in < 15 Min?,Automation Pickup Time (Min),-0.023280888,
MTTR SLA Met?,IE Escalation Time (Hrs),-0.024161611,
MTTR SLA Met?,Automation Pickup Time Range,-0.024231769,
Resolved < 60 Min?,Automation Pickup Time (Min),-0.024703943,
Automation Pickup Time (Min),Week Resolved,-0.024937122,
Priority,Reopen count,-0.02515328,
Business Resolution Time (Hrs),Weightage,-0.026137592,
IE Catgory,Week Escala0d,-0.02723646,
Reassign > 5?,Automation Pickup Time (Min),-0.027863322,
Priority,Technician Pickup Time (Min),-0.028512084,
Support Level(IE?),Reopened?,-0.02955113,
IE Catgory,Resolved < 60 Min?,-0.033303942,
Week Escala0d,Automation Pickup Time (Min),-0.035174422,
Reopen count,Business Resolution Time (Hrs),-0.038271943,
Automation Pickup Time Range,technician Pickup in < 15 Min?,-0.038670706,
Week Resolved,KB Article Used?,-0.039039307,
Automation Pickup Time (Min),Reassignment count,-0.04151906,
Highest Assignment group,Automation Pickup Time (Min),-0.0418702,
Reopen count,KB Article Used?,-0.042142417,
Reopen count,Cluster,-0.045822009,
Weightage,Reassignment count,-0.047533947,
Reopened?,Cluster,-0.048986498,
IE Escalation Time (Hrs),Support Level(IE?),-0.049568107,
